C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,194,135,149,129,208,66,231,295
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,131,143,129,207,66,252,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,131,143,129,207,66,252,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,131,143,129,207,67,251,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,143,129,207,67,251,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,143,129,207,67,251,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,143,129,207,67,252,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,143,129,207,67,252,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,252,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,253,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,253,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,253,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,253,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,253,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,253,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,253,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,142,129,207,67,254,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,141,129,207,67,254,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,141,129,207,67,254,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,141,129,207,67,255,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,131,141,129,207,67,256,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,131,141,130,207,67,257,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,131,141,130,207,68,257,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,141,130,207,68,257,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,141,131,207,68,257,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,141,131,207,68,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,141,131,207,68,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,141,131,207,67,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,140,131,207,67,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,140,131,207,67,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,140,131,207,67,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,140,131,207,67,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,140,131,207,67,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,186,131,140,131,207,67,258,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,131,140,131,207,67,257,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,130,140,131,207,67,257,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,185,130,140,131,207,67,257,301
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,256,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,255,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,255,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,255,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,255,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,255,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,255,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,255,302
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,131,207,67,255,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,130,207,67,255,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,130,207,67,255,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,130,207,67,255,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,130,207,67,254,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,130,207,67,254,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,130,207,67,254,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,140,130,208,67,254,303
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,130,139,130,208,67,254,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,130,139,130,208,68,254,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,130,139,130,208,68,254,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,130,139,130,208,68,254,304
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,130,139,130,208,68,254,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,130,139,130,208,68,254,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,130,208,68,254,305
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,130,208,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,130,208,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,130,208,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,130,208,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,130,208,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,130,208,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,208,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,208,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,207,67,253,307
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,207,67,253,307
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,207,67,254,307
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,207,67,254,307
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,207,67,254,307
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,207,68,254,307
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,183,131,139,131,207,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,131,139,131,207,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,132,139,131,207,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,132,139,131,207,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,132,139,131,207,68,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,132,139,131,207,69,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,132,139,132,207,69,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,132,139,132,207,69,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,132,139,132,207,69,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,132,139,132,207,70,254,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,132,207,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,132,207,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,132,207,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,132,207,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,132,206,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,132,206,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,132,206,70,253,306
name,leftShoulderX,leftShoulderY,rightShoulderX,rightShoulderY,leftEarX,leftEarY,leftHipX,leftHipY
C:\Users\Kishan Pipaliya\Desktop\Sitting posture\istockphoto-1010243914-640_adpp_is.mp4,184,133,139,133,206,70,253,306
